Place,Distance,Type,Median earnings,Median household income,Avg Hours Worked,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Avg Hrly Earnings,Wages,Self Employment,Investments and Retirement,Social Security,Public Assistance and SSI,Self Employed,Total Working Age,Unemployment Rate,Labor Force Participation,Total Employed,Total Unemployed,Total Not in Labor Force,With Retirement Income,Total In Poverty,Percent of Population In Poverty,In Poverty-Employed,In Poverty-Unemployed,In Poverty-Not in Labor Force,Public Assistance Percent,Gini Index,Full Time Employment,Part Time Employment,Men Working Part Time,Women Working Part Time,Single Earner Families,Families with No One Working,"Car, truck or van",Drove alone,Carpooled,In 2-person carpool,In 3-person carpool,In 4-or-more-person carpool,Public transportation,Bus,Streetcar or trolley,Subway or elevated,Railroad,Ferryboat,Bicycle,Walked,"Taxicab, motorcycle or other",Worked at home,Bicycle or walk,Drive,Avg Commute Time,Work in city or place where live,Self Employment Income,Total Self-employed Men,Total Self-employed Women,Zip Code,"Less than $10,000","Earnings-$10,000 to $14,999","Earnings-$15,000 to $19,999","Earnings-$20,000 to $49,999","Earnings-$50,000 to $74,999","Earnings-$75,000 to $99,999","Earnings-$100,000 or more",Median earnings - Male,Median earnings - Female,Poverty Under 12 Years,Poverty 12 to 17 years,Poverty 18 to 34 years,Poverty 35 to 54 years,Poverty 55 to 64 years,Poverty 65+ years,White Poverty Rate,Black Poverty Rate,American Indian Poverty Rate,Asian Poverty Rate,Hawaiian Poverty Rate,Hispanic Poverty Rate,Male Poverty Rate,Female Poverty Rate,Married with children Poverty,Unmarried with children Poverty,Unmarried Female with children Poverty,Unmarried Male with children Poverty,Less Than Highschool in Poverty,Highschool Grad in Poverty,Some College in Poverty,College Grad in Poverty,Income <25,Income 25 to 44,Income 45 to 64,Income 65+,12am to 5am,5am to 530am,530 am to 6am,6am to 630am,630 am to 7am,7am to 730am,730 am to 8am,8am to 830am,830 am to 9am,9am to 10am,10am to 11am,11am to 12noon,12noon to 4pm,4pm to midnight,Less than 5 min,5 to 9 min,10 to 14 min,15 to 19 min,20 to 24 min,25 to 29 min,30 to 34 min,35 to 39 min,40 to 44 min,45 to 59 min,60 to 89 min,90 or more min,Avg Male Commute,Avg Female Commute,Earnings-Overall,"Earnings-Mgt, business, science, and arts","Earnings-Mgt, business, and financial","Earnings-Computer, engineering, and science","Earnings-Education, legal, community service, arts, media",Earnings-Healthcare practitioners and tech,Earnings-Service,Earnings-Protective service,Earnings-Sales and office,"Earnings-Natural resources, construction, maintenance","Earnings-Production, transportation, material moving","Male Earners-Mgt, business, science, and arts","Male Earners-Mgt, business, and financial","Male Earners-Computer, engineering, and science","Male Earners-Education, legal, community service, arts, media",Male Earners-Healthcare practitioners and tech,Male Earners-Service,Male Earners-Protective service,Male Earners-Sales and office,"Male Earners-Natural resources, construction, maintenance","Male Earners-Production, transportation, material moving","Female Earners-Mgt, business, science, and arts","Female Earners-Mgt, business, and financial","Female Earners-Computer, engineering, and science","Female Earners-Education, legal, community service, arts, media",Female Earners-Healthcare practitioners and tech,Female Earners-Service,Female Earners-Protective service,Female Earners-Sales and office,"Female Earners-Natural resources, construction, maintenance","Female Earners-Production, transportation, material moving",Private for-profit workers,Employee of private company,Self-employed in incorporated business,Private not-for-profit,Local government,State government,Federal government,Male-Private for-profit workers,Male-Employee of private company,Male-Self-employed in incorporated business,Male-Private not-for-profit,Male-Local government,Male-State government,Male-Federal government,Female-Private for-profit workers,Female-Employee of private company,Female-Self-employed in incorporated business,Female-Private not-for-profit,Female-Local government,Female-State government,Female-Federal government,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations","Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation, warehousing, and utilities",Information,"Finance, insurance, real estate, rental and leasing","Professional, scientific, management, administrative services","Educational services, health care and social assistance","Arts, entertainment, recreation, accommodation and food services",Public administration,Overall Family Income,White Family Income,Black Family Income,American Indian Family Income,Asian Family Income,Hawaiian Family Income,Hispanic Family Income
1001,0.0,Zipcode,51904.0,56714.0,38.8,9211.0,9194.0,8715.0,479.0,17.0,5315.0,25.726,0.759,0.031,0.103,0.095,0.012,0.065,14526.0,0.033,0.634,0.6,0.033,0.366,0.183,1462.0,0.088,0.199,0.052,0.227,0.108,0.405,0.741,0.259,0.187,0.329,0.219,0.194,0.945,0.873,0.071,0.055,0.013,0.003,0.009,0.006,0.0,0.0,0.003,0.0,0.0,0.01,0.014,0.022,0.01,0.959,20.319,0.252,33642.275,313.0,203.0,"<a href=""1001-Zipcode-MA-Economy-data.html"">1001</a>",0.142,0.09,0.073,0.278,0.28,0.071,0.066,55522.0,43085.0,0.092,0.096,0.222,0.273,0.127,0.189,0.08,0.063,0.0,0.228,0.0,0.46,0.071,0.102,0.009,0.264,0.373,0.0,0.259,0.064,0.084,0.051,37396.0,65714.0,83256.0,33037.0,0.024,0.021,0.047,0.091,0.102,0.173,0.132,0.098,0.068,0.079,0.039,0.006,0.063,0.056,0.049,0.106,0.136,0.225,0.183,0.094,0.114,0.021,0.014,0.032,0.013,0.013,11.019,9.3,51904.0,60321.0,60225.0,73281.0,46538.0,70074.0,40281.0,72266.0,45887.0,52752.0,46688.0,64189.0,65230.0,71944.0,60515.0,0.0,41311.0,81000.0,57132.0,52752.0,51434.0,52943.0,53029.0,73594.0,36538.0,67500.0,35331.0,0.0,34931.0,0.0,21766.0,52715.0,52698.0,53295.0,47969.0,52000.0,40625.0,67721.0,54555.0,54621.0,52955.0,51250.0,70208.0,40000.0,80547.0,40559.0,40461.0,72788.0,47695.0,37768.0,41103.0,56944.0,0.552,0.06,0.295,0.093,0.0,0.0,0.093,0.0,0.0,0.257,0.131,0.0,0.077,0.339,0.044,0.06,0.0,82512.0,81891.0,0.0,0.0,93631.0,0.0,0.0
1002,0.0,Zipcode,55658.0,48923.0,29.7,16451.0,16451.0,15180.0,1271.0,0.0,10360.0,36.039,0.711,0.056,0.177,0.05,0.006,0.166,26811.0,0.047,0.614,0.566,0.047,0.386,0.158,8351.0,0.337,0.382,0.063,0.358,0.082,0.526,0.454,0.546,0.502,0.59,0.259,0.129,0.658,0.589,0.068,0.065,0.003,0.0,0.09,0.087,0.0,0.002,0.001,0.0,0.029,0.131,0.01,0.082,0.161,0.667,19.423,0.275,26005.405,684.0,686.0,"<a href=""1002-Zipcode-MA-Economy-data.html"">1002</a>",0.485,0.073,0.055,0.168,0.106,0.045,0.068,63234.0,46014.0,0.045,0.034,0.816,0.055,0.026,0.025,0.331,0.587,0.689,0.272,0.353,0.386,0.339,0.335,0.07,0.42,0.477,0.106,0.276,0.212,0.172,0.099,18361.0,50795.0,92632.0,71727.0,0.017,0.007,0.013,0.028,0.04,0.099,0.077,0.138,0.118,0.129,0.062,0.03,0.126,0.116,0.038,0.174,0.267,0.174,0.102,0.039,0.063,0.015,0.035,0.052,0.023,0.019,10.948,8.476,55658.0,73004.0,82083.0,67685.0,70843.0,65000.0,27224.0,88448.0,41936.0,47556.0,31431.0,87091.0,97833.0,73458.0,83920.0,154583.0,34514.0,88448.0,42426.0,48321.0,31250.0,64000.0,66458.0,40481.0,64912.0,61528.0,23548.0,0.0,40446.0,0.0,32396.0,44013.0,41871.0,67500.0,62600.0,62571.0,74881.0,91146.0,50131.0,46700.0,70703.0,84868.0,63200.0,99688.0,90521.0,35923.0,35119.0,64297.0,54130.0,61250.0,58000.0,100469.0,0.538,0.094,0.166,0.202,0.0,0.0,0.202,0.036,0.009,0.118,0.0,0.0,0.154,0.208,0.139,0.133,0.0,94489.0,102813.0,25865.0,0.0,82961.0,0.0,33967.0
1003,0.0,Zipcode,12750.0,2499.0,23.3,5279.0,5279.0,4258.0,1021.0,0.0,6017.0,10.523,0.0,0.0,0.0,0.0,0.0,0.0,11296.0,0.09,0.467,0.377,0.09,0.533,0.0,54.0,0.844,0.037,0.0,0.278,0.269,0.586,0.276,0.724,0.665,0.783,0.0,0.0,0.2,0.164,0.037,0.027,0.005,0.005,0.043,0.039,0.0,0.004,0.0,0.0,0.016,0.566,0.0,0.175,0.582,0.2,12.741,0.5,0.0,0.0,56.0,"<a href=""1003-Zipcode-MA-Economy-data.html"">1003</a>",0.927,0.054,0.009,0.009,0.0,0.0,0.0,13250.0,12375.0,0.0,0.0,0.296,0.019,0.685,0.0,0.6,1.0,1.0,1.0,0.0,0.0,0.25,0.929,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.02,0.006,0.002,0.017,0.041,0.013,0.042,0.057,0.047,0.075,0.069,0.353,0.258,0.091,0.296,0.274,0.15,0.09,0.022,0.026,0.001,0.013,0.013,0.02,0.005,4.791,7.948,12750.0,22688.0,0.0,0.0,0.0,0.0,9821.0,0.0,12125.0,0.0,0.0,20139.0,0.0,0.0,0.0,0.0,0.0,0.0,15833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9821.0,0.0,0.0,0.0,0.0,12250.0,12250.0,0.0,15694.0,0.0,0.0,0.0,13000.0,13000.0,0.0,0.0,0.0,0.0,0.0,12125.0,12125.0,0.0,15556.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,0.0,Zipcode,52917.0,70568.0,38.6,2988.0,2988.0,2835.0,153.0,0.0,1322.0,26.364,0.801,0.017,0.098,0.081,0.003,0.074,4310.0,0.035,0.693,0.658,0.035,0.307,0.204,230.0,0.045,0.317,0.126,0.174,0.102,0.405,0.723,0.277,0.146,0.395,0.152,0.128,0.789,0.679,0.11,0.096,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.789,37.37,0.686,20048.529,179.0,143.0,"<a href=""1005-Zipcode-MA-Economy-data.html"">1005</a>",0.136,0.093,0.087,0.305,0.233,0.079,0.066,60342.0,43167.0,0.0,0.0,0.07,0.474,0.213,0.243,0.046,0.0,0.0,0.0,0.0,0.0,0.033,0.058,0.0,0.0,0.0,0.0,0.312,0.072,0.038,0.054,0.0,100750.0,79116.0,42629.0,0.048,0.047,0.028,0.155,0.107,0.225,0.063,0.115,0.082,0.031,0.008,0.0,0.04,0.052,0.008,0.128,0.1,0.05,0.055,0.063,0.12,0.022,0.062,0.219,0.114,0.059,19.354,18.016,52917.0,74425.0,73821.0,104297.0,46447.0,72411.0,28077.0,59353.0,47813.0,61367.0,46324.0,87109.0,79329.0,104297.0,73229.0,0.0,41833.0,59353.0,54185.0,61367.0,41576.0,46518.0,37306.0,0.0,40804.0,71607.0,22628.0,0.0,43015.0,0.0,59250.0,53021.0,45598.0,61654.0,66103.0,57931.0,48309.0,0.0,61019.0,58409.0,77622.0,42379.0,57931.0,60647.0,0.0,36146.0,35542.0,60725.0,66324.0,0.0,47237.0,0.0,0.327,0.284,0.389,0.0,0.0,0.0,0.043,0.0,0.0,0.047,0.0,0.0,0.0,0.251,0.19,0.0,0.0,99127.0,99444.0,0.0,0.0,0.0,0.0,0.0
1007,0.0,Zipcode,57247.0,80502.0,36.9,8593.0,8593.0,8050.0,543.0,0.0,3245.0,29.835,0.77,0.069,0.099,0.057,0.005,0.123,11838.0,0.046,0.726,0.68,0.046,0.274,0.199,1410.0,0.095,0.27,0.073,0.184,0.095,0.43,0.707,0.293,0.212,0.373,0.172,0.122,0.936,0.815,0.121,0.1,0.021,0.0,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.01,0.005,0.035,0.01,0.94,27.925,0.091,53325.436,488.0,143.0,"<a href=""1007-Zipcode-MA-Economy-data.html"">1007</a>",0.177,0.06,0.068,0.232,0.278,0.093,0.091,62345.0,52671.0,0.138,0.076,0.468,0.146,0.064,0.108,0.089,0.28,0.0,0.33,0.0,0.639,0.085,0.105,0.047,0.243,0.317,0.0,0.12,0.167,0.061,0.034,18542.0,82396.0,95847.0,44667.0,0.021,0.019,0.025,0.125,0.108,0.151,0.149,0.144,0.039,0.036,0.018,0.006,0.083,0.075,0.015,0.097,0.052,0.09,0.158,0.099,0.207,0.051,0.064,0.106,0.046,0.014,15.453,12.472,57247.0,70115.0,74732.0,76667.0,60503.0,95481.0,39719.0,85391.0,46774.0,55703.0,51077.0,76310.0,76731.0,80893.0,61779.0,114888.0,41917.0,86250.0,55058.0,55703.0,51788.0,65224.0,73125.0,46364.0,58520.0,65616.0,31458.0,63942.0,43555.0,0.0,0.0,55210.0,55427.0,51838.0,66518.0,61066.0,63466.0,54091.0,59267.0,59655.0,52279.0,85625.0,52237.0,62478.0,86875.0,46168.0,46464.0,43676.0,48804.0,62063.0,63523.0,48375.0,0.305,0.0,0.466,0.228,0.0,0.0,0.228,0.0,0.114,0.158,0.05,0.0,0.06,0.064,0.191,0.0,0.0,92100.0,95026.0,0.0,0.0,0.0,0.0,0.0
1008,0.0,Zipcode,52462.0,67250.0,38.5,766.0,766.0,703.0,63.0,0.0,285.0,26.205,0.753,0.061,0.11,0.071,0.005,0.208,1051.0,0.06,0.729,0.669,0.06,0.271,0.226,49.0,0.041,0.327,0.061,0.061,0.053,0.328,0.803,0.197,0.084,0.341,0.239,0.123,0.895,0.825,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.01,0.073,0.022,0.905,36.297,0.136,22480.909,88.0,24.0,"<a href=""1008-Zipcode-MA-Economy-data.html"">1008</a>",0.157,0.042,0.074,0.278,0.322,0.065,0.062,53958.0,51071.0,0.0,0.286,0.041,0.531,0.082,0.061,0.041,0.0,0.0,0.0,0.0,0.0,0.025,0.059,0.0,0.519,0.25,0.733,0.065,0.078,0.02,0.0,0.0,68906.0,78750.0,55278.0,0.066,0.027,0.132,0.094,0.094,0.178,0.066,0.079,0.041,0.055,0.024,0.028,0.052,0.064,0.027,0.05,0.049,0.064,0.157,0.063,0.105,0.055,0.146,0.156,0.071,0.057,22.382,13.915,52462.0,61176.0,61563.0,61731.0,49583.0,52500.0,26364.0,0.0,55694.0,46607.0,50526.0,62813.0,56667.0,65938.0,0.0,0.0,33750.0,0.0,56250.0,46607.0,51316.0,56023.0,90417.0,0.0,17188.0,52500.0,25987.0,0.0,55417.0,0.0,0.0,55781.0,54722.0,91563.0,41667.0,48750.0,60729.0,58750.0,55192.0,53333.0,76667.0,0.0,76250.0,60729.0,61250.0,56477.0,55682.0,0.0,36563.0,43438.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.143,0.0,0.321,0.0,0.0,0.0,0.143,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,0.0
1009,0.0,Zipcode,46875.0,0.0,36.2,122.0,122.0,122.0,0.0,0.0,92.0,24.902,0.793,0.0,0.0,0.207,0.0,0.179,214.0,0.0,0.57,0.57,0.0,0.43,0.321,105.0,0.443,0.114,0.0,0.0,0.075,0.36,0.651,0.349,0.2,0.613,0.618,0.0,0.844,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.844,28.689,0.344,0.0,19.0,0.0,"<a href=""1009-Zipcode-MA-Economy-data.html"">1009</a>",0.266,0.245,0.0,0.223,0.144,0.0,0.122,58438.0,0.0,0.105,0.219,0.0,0.114,0.0,0.562,0.443,0.0,0.0,0.0,0.0,0.0,0.353,0.529,0.0,1.0,1.0,0.0,1.0,0.514,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.544,0.165,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.175,0.117,0.0,0.0,0.165,0.301,0.0,0.0,0.078,0.165,0.0,23.689,5.0,46875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46875.0,46875.0,0.0,0.0,0.0,0.0,0.0,58438.0,58438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57794.0,57794.0,0.0,0.0,0.0,0.0,0.0
1010,0.0,Zipcode,54813.0,83273.0,36.6,2256.0,2256.0,2124.0,132.0,0.0,867.0,28.8,0.718,0.071,0.132,0.068,0.011,0.135,3123.0,0.042,0.722,0.68,0.042,0.278,0.208,95.0,0.026,0.0,0.0,0.0,0.101,0.412,0.72,0.28,0.174,0.408,0.27,0.135,0.913,0.876,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.071,0.0,0.929,35.244,0.0,48954.95,142.0,84.0,"<a href=""1010-Zipcode-MA-Economy-data.html"">1010</a>",0.166,0.106,0.037,0.239,0.249,0.091,0.113,59702.0,50726.0,0.0,0.0,0.305,0.326,0.095,0.274,0.026,0.0,0.0,0.0,0.0,0.0,0.016,0.036,0.0,0.0,0.0,0.0,0.219,0.0,0.021,0.008,0.0,65357.0,91071.0,61250.0,0.038,0.047,0.063,0.122,0.08,0.158,0.141,0.08,0.033,0.053,0.019,0.022,0.056,0.089,0.008,0.033,0.111,0.105,0.074,0.057,0.128,0.032,0.085,0.217,0.12,0.031,21.221,14.023,54813.0,72198.0,81019.0,74352.0,69038.0,72863.0,32444.0,0.0,52885.0,37052.0,50747.0,79423.0,85179.0,77981.0,0.0,0.0,32115.0,0.0,54448.0,37052.0,50707.0,67682.0,50500.0,0.0,67788.0,69545.0,35938.0,0.0,43491.0,0.0,50962.0,52438.0,52250.0,101875.0,74265.0,69125.0,64688.0,105288.0,54314.0,53725.0,0.0,93438.0,0.0,63594.0,105288.0,46250.0,46912.0,0.0,63000.0,0.0,68375.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.195,0.341,0.22,0.0,0.0,95161.0,95161.0,0.0,0.0,0.0,0.0,0.0
1011,0.0,Zipcode,43229.0,74722.0,38.4,903.0,894.0,839.0,55.0,9.0,329.0,21.649,0.787,0.051,0.089,0.059,0.014,0.172,1232.0,0.045,0.733,0.681,0.045,0.267,0.187,110.0,0.073,0.027,0.0,0.364,0.138,0.355,0.786,0.214,0.158,0.296,0.279,0.13,0.933,0.846,0.086,0.082,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.017,0.03,0.021,0.949,35.537,0.113,23445.263,65.0,17.0,"<a href=""1011-Zipcode-MA-Economy-data.html"">1011</a>",0.139,0.06,0.043,0.397,0.233,0.082,0.046,44375.0,40000.0,0.236,0.036,0.4,0.1,0.155,0.073,0.067,0.467,0.0,0.0,0.0,0.118,0.079,0.065,0.081,0.186,0.306,0.0,0.098,0.092,0.029,0.044,0.0,68594.0,91023.0,60000.0,0.073,0.08,0.034,0.123,0.072,0.176,0.123,0.102,0.057,0.035,0.004,0.0,0.08,0.039,0.048,0.048,0.035,0.124,0.037,0.062,0.174,0.023,0.096,0.222,0.105,0.026,20.799,14.738,43229.0,59861.0,57679.0,73750.0,53750.0,110417.0,29688.0,0.0,37143.0,50433.0,44167.0,67875.0,71250.0,69375.0,0.0,0.0,28125.0,0.0,43875.0,50048.0,58393.0,49063.0,40469.0,0.0,47813.0,130278.0,35417.0,0.0,35179.0,0.0,33646.0,41786.0,41786.0,0.0,40917.0,71875.0,47188.0,71563.0,44000.0,44000.0,0.0,40909.0,58750.0,0.0,83250.0,34583.0,34583.0,0.0,40938.0,82083.0,46250.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,78056.0,78472.0,0.0,0.0,0.0,0.0,0.0
1012,0.0,Zipcode,40417.0,60417.0,35.8,318.0,318.0,287.0,31.0,0.0,116.0,21.711,0.625,0.142,0.153,0.08,0.0,0.272,434.0,0.071,0.733,0.661,0.071,0.267,0.181,60.0,0.114,0.333,0.183,0.233,0.058,0.423,0.674,0.326,0.184,0.461,0.216,0.108,0.826,0.798,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.15,0.024,0.826,29.57,0.0,38803.03,23.0,24.0,"<a href=""1012-Zipcode-MA-Economy-data.html"">1012</a>",0.183,0.129,0.036,0.326,0.198,0.033,0.096,41250.0,39286.0,0.2,0.05,0.067,0.517,0.167,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.081,0.144,0.108,0.229,1.0,0.0,0.133,0.195,0.122,0.02,0.0,0.0,68824.0,46250.0,0.0,0.029,0.082,0.033,0.254,0.086,0.086,0.283,0.033,0.057,0.033,0.0,0.025,0.0,0.037,0.0,0.111,0.094,0.09,0.123,0.23,0.053,0.041,0.148,0.074,0.0,13.381,16.189,40417.0,61750.0,74286.0,66250.0,55625.0,0.0,24000.0,0.0,38750.0,32083.0,31719.0,77500.0,140000.0,46875.0,0.0,0.0,24750.0,0.0,66000.0,32083.0,31719.0,56563.0,55625.0,0.0,31667.0,0.0,0.0,0.0,32188.0,0.0,0.0,37969.0,37656.0,0.0,38438.0,46071.0,61250.0,0.0,38125.0,37813.0,0.0,0.0,46964.0,0.0,0.0,32188.0,32188.0,0.0,36667.0,37917.0,61250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69327.0,69615.0,0.0,0.0,0.0,0.0,0.0
