Place,Distance,Type,Median earnings,Median household income,Avg Hours Worked,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Avg Hrly Earnings,Wages,Self Employment,Investments and Retirement,Social Security,Public Assistance and SSI,Self Employed,Total Working Age,Unemployment Rate,Labor Force Participation,Total Employed,Total Unemployed,Total Not in Labor Force,With Retirement Income,Total In Poverty,Percent of Population In Poverty,In Poverty-Employed,In Poverty-Unemployed,In Poverty-Not in Labor Force,Public Assistance Percent,Gini Index,Full Time Employment,Part Time Employment,Men Working Part Time,Women Working Part Time,Single Earner Families,Families with No One Working,"Car, truck or van",Drove alone,Carpooled,In 2-person carpool,In 3-person carpool,In 4-or-more-person carpool,Public transportation,Bus,Streetcar or trolley,Subway or elevated,Railroad,Ferryboat,Bicycle,Walked,"Taxicab, motorcycle or other",Worked at home,Bicycle or walk,Drive,Avg Commute Time,Work in city or place where live,Self Employment Income,Total Self-employed Men,Total Self-employed Women,Zip Code
1001,0.0,Zipcode,51904.0,56714.0,38.8,9211.0,9194.0,8715.0,479.0,17.0,5315.0,25.726,0.759,0.031,0.103,0.095,0.012,0.065,14526.0,0.033,0.634,0.6,0.033,0.366,0.183,1462.0,0.088,0.199,0.052,0.227,0.108,0.405,0.741,0.259,0.187,0.329,0.219,0.194,0.945,0.873,0.071,0.055,0.013,0.003,0.009,0.006,0.0,0.0,0.003,0.0,0.0,0.01,0.014,0.022,0.01,0.959,20.319,0.252,33642.275,313.0,203.0,"<a href=""1001-Zipcode-MA-Economy-data.html"">1001</a>"
1002,0.0,Zipcode,55658.0,48923.0,29.7,16451.0,16451.0,15180.0,1271.0,0.0,10360.0,36.039,0.711,0.056,0.177,0.05,0.006,0.166,26811.0,0.047,0.614,0.566,0.047,0.386,0.158,8351.0,0.337,0.382,0.063,0.358,0.082,0.526,0.454,0.546,0.502,0.59,0.259,0.129,0.658,0.589,0.068,0.065,0.003,0.0,0.09,0.087,0.0,0.002,0.001,0.0,0.029,0.131,0.01,0.082,0.161,0.667,19.423,0.275,26005.405,684.0,686.0,"<a href=""1002-Zipcode-MA-Economy-data.html"">1002</a>"
1003,0.0,Zipcode,12750.0,2499.0,23.3,5279.0,5279.0,4258.0,1021.0,0.0,6017.0,10.523,0.0,0.0,0.0,0.0,0.0,0.0,11296.0,0.09,0.467,0.377,0.09,0.533,0.0,54.0,0.844,0.037,0.0,0.278,0.269,0.586,0.276,0.724,0.665,0.783,0.0,0.0,0.2,0.164,0.037,0.027,0.005,0.005,0.043,0.039,0.0,0.004,0.0,0.0,0.016,0.566,0.0,0.175,0.582,0.2,12.741,0.5,0.0,0.0,56.0,"<a href=""1003-Zipcode-MA-Economy-data.html"">1003</a>"
1005,0.0,Zipcode,52917.0,70568.0,38.6,2988.0,2988.0,2835.0,153.0,0.0,1322.0,26.364,0.801,0.017,0.098,0.081,0.003,0.074,4310.0,0.035,0.693,0.658,0.035,0.307,0.204,230.0,0.045,0.317,0.126,0.174,0.102,0.405,0.723,0.277,0.146,0.395,0.152,0.128,0.789,0.679,0.11,0.096,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.789,37.37,0.686,20048.529,179.0,143.0,"<a href=""1005-Zipcode-MA-Economy-data.html"">1005</a>"
1007,0.0,Zipcode,57247.0,80502.0,36.9,8593.0,8593.0,8050.0,543.0,0.0,3245.0,29.835,0.77,0.069,0.099,0.057,0.005,0.123,11838.0,0.046,0.726,0.68,0.046,0.274,0.199,1410.0,0.095,0.27,0.073,0.184,0.095,0.43,0.707,0.293,0.212,0.373,0.172,0.122,0.936,0.815,0.121,0.1,0.021,0.0,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.01,0.005,0.035,0.01,0.94,27.925,0.091,53325.436,488.0,143.0,"<a href=""1007-Zipcode-MA-Economy-data.html"">1007</a>"
1008,0.0,Zipcode,52462.0,67250.0,38.5,766.0,766.0,703.0,63.0,0.0,285.0,26.205,0.753,0.061,0.11,0.071,0.005,0.208,1051.0,0.06,0.729,0.669,0.06,0.271,0.226,49.0,0.041,0.327,0.061,0.061,0.053,0.328,0.803,0.197,0.084,0.341,0.239,0.123,0.895,0.825,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.01,0.073,0.022,0.905,36.297,0.136,22480.909,88.0,24.0,"<a href=""1008-Zipcode-MA-Economy-data.html"">1008</a>"
1009,0.0,Zipcode,46875.0,0.0,36.2,122.0,122.0,122.0,0.0,0.0,92.0,24.902,0.793,0.0,0.0,0.207,0.0,0.179,214.0,0.0,0.57,0.57,0.0,0.43,0.321,105.0,0.443,0.114,0.0,0.0,0.075,0.36,0.651,0.349,0.2,0.613,0.618,0.0,0.844,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.844,28.689,0.344,0.0,19.0,0.0,"<a href=""1009-Zipcode-MA-Economy-data.html"">1009</a>"
1010,0.0,Zipcode,54813.0,83273.0,36.6,2256.0,2256.0,2124.0,132.0,0.0,867.0,28.8,0.718,0.071,0.132,0.068,0.011,0.135,3123.0,0.042,0.722,0.68,0.042,0.278,0.208,95.0,0.026,0.0,0.0,0.0,0.101,0.412,0.72,0.28,0.174,0.408,0.27,0.135,0.913,0.876,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.071,0.0,0.929,35.244,0.0,48954.95,142.0,84.0,"<a href=""1010-Zipcode-MA-Economy-data.html"">1010</a>"
1011,0.0,Zipcode,43229.0,74722.0,38.4,903.0,894.0,839.0,55.0,9.0,329.0,21.649,0.787,0.051,0.089,0.059,0.014,0.172,1232.0,0.045,0.733,0.681,0.045,0.267,0.187,110.0,0.073,0.027,0.0,0.364,0.138,0.355,0.786,0.214,0.158,0.296,0.279,0.13,0.933,0.846,0.086,0.082,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.017,0.03,0.021,0.949,35.537,0.113,23445.263,65.0,17.0,"<a href=""1011-Zipcode-MA-Economy-data.html"">1011</a>"
1012,0.0,Zipcode,40417.0,60417.0,35.8,318.0,318.0,287.0,31.0,0.0,116.0,21.711,0.625,0.142,0.153,0.08,0.0,0.272,434.0,0.071,0.733,0.661,0.071,0.267,0.181,60.0,0.114,0.333,0.183,0.233,0.058,0.423,0.674,0.326,0.184,0.461,0.216,0.108,0.826,0.798,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.15,0.024,0.826,29.57,0.0,38803.03,23.0,24.0,"<a href=""1012-Zipcode-MA-Economy-data.html"">1012</a>"
